doc_id,title,year,category,filename
DOC01,Sindh Criminal Court Rules,2012,Court Rules,01_sindh_criminal_court_rules_2012.pdf
DOC02,"Sindh Criminal Prosecution Service (Constitution, Functions and Powers) Act",2009,Base Act,02_sindh_criminal_prosecution_service_act_2009.pdf
DOC03,"Sindh Criminal Prosecution Service (Constitution, Functions and Powers) Amendment Act",2011,Amendment,03_sindh_criminal_prosecution_service_amendment_2011.pdf
DOC04,"Sindh Criminal Prosecution Service (Constitution, Functions and Powers) Amendment Act",2014,Amendment,04_sindh_criminal_prosecution_service_amendment_2014.pdf
DOC05,"Sindh Criminal Prosecution Service (Constitution, Functions and Powers) Amendment Act,2015 (Sindh Act No. II of 2016)",2015,Amendment,05_sindh_criminal_prosecution_service_amendment_2015_act_2016.pdf
DOC06,"Sindh Criminal Prosecution Service (Constitution, Functions and Powers) Amendment Act",2025,Amendment,06_sindh_criminal_prosecution_service_amendment_2025.pdf
DOC07,"Consolidated Sindh Criminal Prosecution Service (Constitution, Functions and Powers) Act",2009,Consolidated Act,07_consolidated_sindh_criminal_prosecution_service_act.pdf
